question,reference_answer
"What are the main drivers of global warming?","Human activities, principally emissions of greenhouse gases like CO2 and methane, unsustainable energy and land use, changed lifestyles, and consumption and production patterns across regions and countries."
"How has the global temperature changed since 1850?","Global surface temperature increased by about 1.1°C between the periods 1850-1900 and 2011-2020, with faster warming since 1970 than any previous 50-year period in the last 2000 years."
"What are the projected impacts of 1.5°C global warming?","Increasing severity of weather extremes, heatwaves, droughts, flooding, sea-level rise, health hazards, risks to food and water security, economic impacts, societal disruptions, and widespread ecological damage."
"Which regions are most vulnerable to climate change impacts?","Vulnerable developing countries and regions, particularly those with the poorest populations, face disproportionately severe impacts from climate change, including compounded risks and unequal distribution of damages."
"What is the remaining carbon budget to limit warming to 1.5°C?","From 2020, the estimated remaining carbon budget to limit warming to 1.5°C with a 50% likelihood is approximately 500 GtCO2, with a potential range between 300 to 600 GtCO2 based on non-CO2 warming control."
"What are the key mitigation strategies to limit global warming?","Rapid, deep, and in most cases immediate reductions in greenhouse gas emissions across energy, industry, transport, buildings, and urban sectors, achieving global net-zero CO2 around the early 2050s."
"How does afforestation help in mitigating climate change?","Afforestation contributes indirectly by enhancing carbon sinks. Achieving net-negative emissions through carbon dioxide removal, including practices such as afforestation, balances residual emissions from hard-to-abate sectors."
"What are the main barriers to climate change adaptation?","Current financial, governance, and institutional arrangements do not comprehensively address required climate adaptation needs and barriers, particularly in highly vulnerable developing countries with limited capacity and resources."
"What is the role of international cooperation in climate action?","International cooperation provides essential governance frameworks, financial resources, institutional support, and policy mechanisms to effectively mitigate greenhouse gas emissions and address adaptation gaps globally."
"How can climate-resilient development be achieved?","Integrating ambitious climate mitigation and adaptation with sustainable development goals, emphasizing equity, justice, proactive governance, and careful consideration of risk management and co-benefits."
"What are the potential synergies between climate action and sustainable development?","Simultaneous advancement of sustainable development goals occurs through climate action, yielding improved public health, reduced vulnerabilities, food security, poverty alleviation, economic stability, energy access, and biodiversity conservation."
"What are the trade-offs of climate mitigation and adaptation?","Climate mitigation and adaptation involve economic trade-offs, uneven effects across society, development goal conflicts, substantial upfront investments, technological uncertainties, employment changes, and socioeconomic transitions requiring careful management."
